datetime,Volume,Rain
10/30/2001 0:00,10566000,0
10/31/2001 0:00,10566000,0
11/1/2001 0:00,10566000,0
11/2/2001 0:00,10566000,0
11/3/2001 0:00,10566000,0
11/4/2001 0:00,10566000,0
11/5/2001 0:00,10566000,0
11/6/2001 0:00,10566000,0
11/7/2001 0:00,10566000,0
11/8/2001 0:00,10566000,0.254
11/9/2001 0:00,10566000,0
11/10/2001 0:00,10566000,1.778
11/11/2001 0:00,10566000,0
11/12/2001 0:00,10566000,0.254
11/13/2001 0:00,10566000,0
11/14/2001 0:00,10566000,0
11/15/2001 0:00,10566000,3.302
11/16/2001 0:00,10566000,0.254
11/17/2001 0:00,10566000,0.254
11/18/2001 0:00,10566000,0.508
11/19/2001 0:00,10566000,10.668
11/20/2001 0:00,10566000,0
11/21/2001 0:00,10566000,0
11/22/2001 0:00,10566000,0
11/23/2001 0:00,10566000,0
11/24/2001 0:00,10566000,0
11/25/2001 0:00,10566000,0
11/26/2001 0:00,10566000,0
11/27/2001 0:00,10566000,0
11/28/2001 0:00,10566000,0
11/29/2001 0:00,10566000,0
11/30/2001 0:00,10566000,0
12/1/2001 0:00,10566000,0
12/2/2001 0:00,10566000,0
12/3/2001 0:00,10566000,0
12/4/2001 0:00,10566000,0
12/5/2001 0:00,10566000,0
12/6/2001 0:00,10566000,0
12/7/2001 0:00,10566000,0
12/8/2001 0:00,10566000,0
12/9/2001 0:00,10566000,0
12/10/2001 0:00,10566000,0
12/11/2001 0:00,10566000,0
12/12/2001 0:00,10566000,0
12/13/2001 0:00,10566000,0
12/14/2001 0:00,10566000,0
12/15/2001 0:00,10566000,0
12/16/2001 0:00,10566000,0
12/17/2001 0:00,10566000,0
12/18/2001 0:00,10566000,0
12/19/2001 0:00,10566000,0
12/20/2001 0:00,10566000,0
12/21/2001 0:00,10566000,0
12/22/2001 0:00,10566000,0
12/23/2001 0:00,10566000,0
12/24/2001 0:00,10566000,0
12/25/2001 0:00,10566000,0
12/26/2001 0:00,10566000,0
12/27/2001 0:00,10566000,0.254
12/28/2001 0:00,10566000,0
12/29/2001 0:00,10566000,0
12/30/2001 0:00,10566000,0
12/31/2001 0:00,10566000,0
1/1/2002 0:00,10566000,0
1/2/2002 0:00,10566000,0
1/3/2002 0:00,10566000,0
1/4/2002 0:00,10566000,0
1/5/2002 0:00,10566000,0
1/6/2002 0:00,10566000,0
1/7/2002 0:00,10566000,0
1/8/2002 0:00,10566000,1.27
1/9/2002 0:00,10566000,3.302
1/10/2002 0:00,10566000,0
1/11/2002 0:00,10566000,0
1/12/2002 0:00,10566000,0
1/13/2002 0:00,10566000,0.254
1/14/2002 0:00,10566000,0
1/15/2002 0:00,10566000,0
1/16/2002 0:00,10566000,0
1/17/2002 0:00,10566000,0.254
1/18/2002 0:00,10566000,0
1/19/2002 0:00,10566000,0
1/20/2002 0:00,10566000,0
1/21/2002 0:00,10566000,0
1/22/2002 0:00,10566000,0
1/23/2002 0:00,10566000,0
1/24/2002 0:00,10566000,0
1/25/2002 0:00,10566000,0
1/26/2002 0:00,10566000,0
1/27/2002 0:00,10566000,0
1/28/2002 0:00,10566000,0
1/29/2002 0:00,10566000,0
1/30/2002 0:00,10566000,0
1/31/2002 0:00,10566000,0
2/1/2002 0:00,10566000,0
2/2/2002 0:00,10566000,0
2/3/2002 0:00,10566000,1.27
2/4/2002 0:00,10566000,2.032
2/5/2002 0:00,10566000,0.254
2/6/2002 0:00,10566000,3.302
2/7/2002 0:00,10566000,0
2/8/2002 0:00,10566000,0
2/9/2002 0:00,10566000,0
2/10/2002 0:00,10566000,0
2/11/2002 0:00,10566000,0
2/12/2002 0:00,10566000,0
2/13/2002 0:00,10566000,0
2/14/2002 0:00,10566000,0.254
2/15/2002 0:00,10566000,1.778
2/16/2002 0:00,10566000,4.318
2/17/2002 0:00,10566000,0
2/18/2002 0:00,10566000,0.254
2/19/2002 0:00,10566000,3.048
2/20/2002 0:00,10566000,0
2/21/2002 0:00,10566000,0
2/22/2002 0:00,10566000,0
2/23/2002 0:00,10566000,0
2/24/2002 0:00,10566000,0
2/25/2002 0:00,10566000,0
2/26/2002 0:00,10566000,0
2/27/2002 0:00,10566000,0
2/28/2002 0:00,10566000,0
3/1/2002 0:00,10566000,0
3/2/2002 0:00,10566000,0
3/3/2002 0:00,10566000,0
3/4/2002 0:00,10566000,0
3/5/2002 0:00,10566000,0
3/6/2002 0:00,10566000,2.286
3/7/2002 0:00,10566000,0
3/8/2002 0:00,10566000,0
3/9/2002 0:00,10566000,0
3/10/2002 0:00,10566000,0
3/11/2002 0:00,10566000,0
3/12/2002 0:00,10566000,0
3/13/2002 0:00,10566000,0
3/14/2002 0:00,10566000,0.254
3/15/2002 0:00,10566000,0
3/16/2002 0:00,10566000,2.794
3/17/2002 0:00,10566000,0
3/18/2002 0:00,10566000,0
3/19/2002 0:00,10566000,0.254
3/20/2002 0:00,10566000,0
3/21/2002 0:00,10566000,0
3/22/2002 0:00,10566000,1.016
3/23/2002 0:00,10566000,1.524
3/24/2002 0:00,10566000,0
3/25/2002 0:00,10566000,0
3/26/2002 0:00,10566000,0
3/27/2002 0:00,10566000,0
3/28/2002 0:00,10566000,0
3/29/2002 0:00,10566000,0
3/30/2002 0:00,10566000,0
3/31/2002 0:00,10566000,0
4/1/2002 0:00,10566000,0
4/2/2002 0:00,10566000,0.254
4/3/2002 0:00,10566000,0.762
4/4/2002 0:00,10566000,2.032
4/5/2002 0:00,10566000,0
4/6/2002 0:00,10566000,0.508
4/7/2002 0:00,10566000,2.032
4/8/2002 0:00,10566000,0
4/9/2002 0:00,10566000,0
4/10/2002 0:00,10566000,0.762
4/11/2002 0:00,10566000,0
4/12/2002 0:00,10566000,1.524
4/13/2002 0:00,10566000,1.27
4/14/2002 0:00,10566000,0
4/15/2002 0:00,10566000,0.254
4/16/2002 0:00,10566000,0.762
4/17/2002 0:00,10566000,0
4/18/2002 0:00,10566000,0
4/19/2002 0:00,10566000,1.27
4/20/2002 0:00,10566000,0.762
4/21/2002 0:00,10566000,0
4/22/2002 0:00,10566000,0
4/23/2002 0:00,10566000,0
4/24/2002 0:00,10566000,0
4/25/2002 0:00,10566000,0
4/26/2002 0:00,10566000,0.508
4/27/2002 0:00,10566000,0
4/28/2002 0:00,10566000,3.81
4/29/2002 0:00,10566000,1.27
4/30/2002 0:00,10566000,2.794
5/1/2002 0:00,10566000,3.556
5/2/2002 0:00,10566000,1.778
5/3/2002 0:00,10566000,0
5/4/2002 0:00,10566000,0
5/5/2002 0:00,10566000,0
5/6/2002 0:00,10566000,0
5/7/2002 0:00,10566000,0.254
5/8/2002 0:00,10566000,0
5/9/2002 0:00,10566000,0.254
5/10/2002 0:00,10566000,1.524
5/11/2002 0:00,10566000,2.286
5/12/2002 0:00,10566000,0.508
5/13/2002 0:00,10566000,0
5/14/2002 0:00,10566000,1.524
5/15/2002 0:00,10566000,0
5/16/2002 0:00,10566000,2.794
5/17/2002 0:00,10566000,0
5/18/2002 0:00,10566000,0
5/19/2002 0:00,10566000,0.762
5/20/2002 0:00,10566000,1.016
5/21/2002 0:00,10566000,0
5/22/2002 0:00,10566000,0
5/23/2002 0:00,10566000,1.016
5/24/2002 0:00,10566000,0
5/25/2002 0:00,10566000,0
5/26/2002 0:00,10566000,0
5/27/2002 0:00,10566000,0
5/28/2002 0:00,10566000,0
5/29/2002 0:00,10566000,0
5/30/2002 0:00,10566000,0
5/31/2002 0:00,10566000,0
6/1/2002 0:00,10566000,0
6/2/2002 0:00,10566000,0
6/3/2002 0:00,10566000,0
6/4/2002 0:00,10566000,0
6/5/2002 0:00,10566000,0.254
6/6/2002 0:00,10566000,0
6/7/2002 0:00,10566000,0
6/8/2002 0:00,10566000,0
6/9/2002 0:00,10566000,0
6/10/2002 0:00,10566000,0
6/11/2002 0:00,10566000,0
6/12/2002 0:00,10566000,0
6/13/2002 0:00,10566000,8.89
6/14/2002 0:00,10566000,10.414
6/15/2002 0:00,10566000,2.54
6/16/2002 0:00,10566000,0
6/17/2002 0:00,10566000,0
6/18/2002 0:00,10566000,0.762
6/19/2002 0:00,10566000,0
6/20/2002 0:00,10566000,4.826
6/21/2002 0:00,10566000,5.588
6/22/2002 0:00,10566000,1.524
6/23/2002 0:00,10566000,0.508
6/24/2002 0:00,10566000,2.794
6/25/2002 0:00,10566000,3.048
6/26/2002 0:00,10566000,0.508
6/27/2002 0:00,10566000,0.762
6/28/2002 0:00,10566000,7.366
6/29/2002 0:00,10566000,1.27
6/30/2002 0:00,10566000,3.302
7/1/2002 0:00,10566000,5.334
7/2/2002 0:00,10566000,6.35
7/3/2002 0:00,10566000,3.556
7/4/2002 0:00,10566000,3.556
7/5/2002 0:00,10566000,2.286
7/6/2002 0:00,10566000,3.81
7/7/2002 0:00,10566000,6.604
7/8/2002 0:00,10566000,0
7/9/2002 0:00,10566000,8.128
7/10/2002 0:00,10566000,3.556
7/11/2002 0:00,10566000,0.762
7/12/2002 0:00,10566000,0
7/13/2002 0:00,10566000,2.794
7/14/2002 0:00,10566000,2.54
7/15/2002 0:00,10566000,0.254
7/16/2002 0:00,10566000,2.286
7/17/2002 0:00,10566000,4.826
7/18/2002 0:00,10566000,0.508
7/19/2002 0:00,10566000,0
7/20/2002 0:00,10566000,5.588
7/21/2002 0:00,10566000,3.81
7/22/2002 0:00,10566000,1.016
7/23/2002 0:00,10566000,0
7/24/2002 0:00,10566000,1.27
7/25/2002 0:00,10566000,0
7/26/2002 0:00,10566000,0
7/27/2002 0:00,10566000,0
7/28/2002 0:00,10566000,0.254
7/29/2002 0:00,10566000,0
7/30/2002 0:00,10566000,0.762
7/31/2002 0:00,10566000,0.254
8/1/2002 0:00,10566000,0
8/2/2002 0:00,10566000,0.254
8/3/2002 0:00,10566000,0.254
8/4/2002 0:00,10566000,0
8/5/2002 0:00,10566000,0
8/6/2002 0:00,10566000,0
8/7/2002 0:00,10566000,0.762
8/8/2002 0:00,10566000,0.254
8/9/2002 0:00,10566000,6.858
8/10/2002 0:00,10566000,1.778
8/11/2002 0:00,10566000,14.986
8/12/2002 0:00,10566000,2.54
8/13/2002 0:00,10566000,31.242
8/14/2002 0:00,10566000,0.254
8/15/2002 0:00,10566000,24.638
8/16/2002 0:00,10566000,6.096
8/17/2002 0:00,10566000,10.414
8/18/2002 0:00,10566000,3.81
8/19/2002 0:00,10566000,5.08
8/20/2002 0:00,10566000,2.794
8/21/2002 0:00,10566000,0
8/22/2002 0:00,10566000,1.27
8/23/2002 0:00,10566000,0
8/24/2002 0:00,10566000,0
8/25/2002 0:00,10566000,0
8/26/2002 0:00,10566000,0
8/27/2002 0:00,10566000,0
8/28/2002 0:00,10566000,0
8/29/2002 0:00,10566000,5.08
8/30/2002 0:00,10566000,1.778
8/31/2002 0:00,10566000,0.254
9/1/2002 0:00,10566000,0
9/2/2002 0:00,10566000,0
9/3/2002 0:00,10566000,0.762
9/4/2002 0:00,10566000,0
9/5/2002 0:00,10566000,0.254
9/6/2002 0:00,10566000,0
9/7/2002 0:00,10566000,0
9/8/2002 0:00,10566000,0
9/9/2002 0:00,10566000,0.254
9/10/2002 0:00,10566000,0.254
9/11/2002 0:00,10566000,0
9/12/2002 0:00,10566000,0
9/13/2002 0:00,10566000,0
9/14/2002 0:00,10566000,0
9/15/2002 0:00,10566000,0
9/16/2002 0:00,10566000,0
9/17/2002 0:00,10566000,0
9/18/2002 0:00,10566000,0.762
9/19/2002 0:00,10566000,3.556
9/20/2002 0:00,10566000,2.794
9/21/2002 0:00,10566000,0.762
9/22/2002 0:00,10566000,0.762
9/23/2002 0:00,10566000,0
9/24/2002 0:00,10566000,0
9/25/2002 0:00,10566000,0
9/26/2002 0:00,10566000,0
9/27/2002 0:00,10566000,6.096
9/28/2002 0:00,10566000,0.762
9/29/2002 0:00,10566000,0
9/30/2002 0:00,10566000,0
10/1/2002 0:00,10566000,0
10/2/2002 0:00,10566000,1.016
10/3/2002 0:00,10566000,5.588
10/4/2002 0:00,10566000,3.048
10/5/2002 0:00,10566000,4.826
10/6/2002 0:00,10566000,0.254
10/7/2002 0:00,10566000,2.54
10/8/2002 0:00,10566000,5.08
10/9/2002 0:00,10566000,11.43
10/10/2002 0:00,10566000,0
10/11/2002 0:00,10566000,0
10/12/2002 0:00,10566000,0
10/13/2002 0:00,10566000,0
10/14/2002 0:00,10566000,0
10/15/2002 0:00,10566000,0
10/16/2002 0:00,10566000,0
10/17/2002 0:00,10566000,0
10/18/2002 0:00,10566000,0
10/19/2002 0:00,10566000,0
10/20/2002 0:00,10566000,3.556
10/21/2002 0:00,10566000,3.556
10/22/2002 0:00,10566000,0
10/23/2002 0:00,10566000,0
10/24/2002 0:00,10566000,0.254
10/25/2002 0:00,10566000,0.254
10/26/2002 0:00,10566000,0
10/27/2002 0:00,10566000,0
10/28/2002 0:00,10566000,0
10/29/2002 0:00,10566000,0
10/30/2002 0:00,10566000,0
10/31/2002 0:00,10566000,0
11/1/2002 0:00,10566000,0
11/2/2002 0:00,10566000,0
11/3/2002 0:00,10566000,0
11/4/2002 0:00,10566000,0
11/5/2002 0:00,10566000,0
11/6/2002 0:00,10566000,0
11/7/2002 0:00,10566000,0
11/8/2002 0:00,10566000,0
11/9/2002 0:00,10566000,0
11/10/2002 0:00,10566000,0
11/11/2002 0:00,10566000,0
11/12/2002 0:00,10566000,0
11/13/2002 0:00,10566000,0
11/14/2002 0:00,10566000,0
11/15/2002 0:00,10566000,0
11/16/2002 0:00,10566000,0
11/17/2002 0:00,10566000,0
11/18/2002 0:00,10566000,0
11/19/2002 0:00,10566000,0
11/20/2002 0:00,10566000,0
11/21/2002 0:00,10566000,0
11/22/2002 0:00,10566000,0
11/23/2002 0:00,10566000,1.016
11/24/2002 0:00,10566000,0
11/25/2002 0:00,10566000,0
11/26/2002 0:00,10566000,0
11/27/2002 0:00,10566000,0
11/28/2002 0:00,10566000,0.254
11/29/2002 0:00,10566000,0.508
11/30/2002 0:00,10566000,0.508
12/1/2002 0:00,10566000,0
12/2/2002 0:00,10566000,0
12/3/2002 0:00,10566000,0
12/4/2002 0:00,10566000,0
12/5/2002 0:00,10566000,0
12/6/2002 0:00,10566000,1.27
12/7/2002 0:00,10566000,0
12/8/2002 0:00,10566000,0
12/9/2002 0:00,10566000,0
12/10/2002 0:00,10566000,0
12/11/2002 0:00,10566000,0
12/12/2002 0:00,10566000,0
12/13/2002 0:00,10566000,0
12/14/2002 0:00,10566000,0
12/15/2002 0:00,10566000,0
12/16/2002 0:00,10566000,0
12/17/2002 0:00,10566000,0
12/18/2002 0:00,10566000,1.27
12/19/2002 0:00,10566000,0
12/20/2002 0:00,10566000,0
12/21/2002 0:00,10566000,0
12/22/2002 0:00,10566000,1.016
12/23/2002 0:00,10566000,0.508
12/24/2002 0:00,10566000,0
12/25/2002 0:00,10566000,0
12/26/2002 0:00,10566000,0
12/27/2002 0:00,10566000,0
12/28/2002 0:00,10566000,0
12/29/2002 0:00,10566000,0
12/30/2002 0:00,10566000,0
12/31/2002 0:00,10566000,0
1/1/2003 0:00,10566000,0
1/2/2003 0:00,10566000,0
1/3/2003 0:00,10566000,0
1/4/2003 0:00,10566000,0
1/5/2003 0:00,10566000,1.524
1/6/2003 0:00,10566000,0.762
1/7/2003 0:00,10566000,0
1/8/2003 0:00,10566000,3.302
1/9/2003 0:00,10566000,2.794
1/10/2003 0:00,10566000,0.254
1/11/2003 0:00,10566000,0.762
1/12/2003 0:00,10566000,0
1/13/2003 0:00,10566000,0
1/14/2003 0:00,10566000,0
1/15/2003 0:00,10566000,0
1/16/2003 0:00,10566000,0
1/17/2003 0:00,10566000,0
1/18/2003 0:00,10566000,0
1/19/2003 0:00,10566000,0
1/20/2003 0:00,10566000,0
1/21/2003 0:00,10566000,0
1/22/2003 0:00,10566000,0
1/23/2003 0:00,10566000,0
1/24/2003 0:00,10566000,0
1/25/2003 0:00,10566000,0
1/26/2003 0:00,10566000,0
1/27/2003 0:00,10566000,0.254
1/28/2003 0:00,10566000,0
1/29/2003 0:00,10566000,0
1/30/2003 0:00,10566000,0
1/31/2003 0:00,10566000,0
2/1/2003 0:00,10566000,0
2/2/2003 0:00,10566000,0
2/3/2003 0:00,10566000,0
2/4/2003 0:00,10566000,0
2/5/2003 0:00,10566000,0
2/6/2003 0:00,10566000,0
2/7/2003 0:00,10566000,0
2/8/2003 0:00,10566000,0.762
2/9/2003 0:00,10566000,1.778
2/10/2003 0:00,10566000,0.254
2/11/2003 0:00,10566000,1.27
2/12/2003 0:00,10566000,0
2/13/2003 0:00,10566000,0
2/14/2003 0:00,10566000,0.762
2/15/2003 0:00,10566000,1.27
2/16/2003 0:00,10566000,0
2/17/2003 0:00,10566000,0
2/18/2003 0:00,10566000,0
2/19/2003 0:00,10566000,0
2/20/2003 0:00,10566000,0.762
2/21/2003 0:00,10566000,0
2/22/2003 0:00,10566000,0
2/23/2003 0:00,10566000,1.016
2/24/2003 0:00,10566000,0
2/25/2003 0:00,10566000,4.064
2/26/2003 0:00,10566000,0
2/27/2003 0:00,10566000,0
2/28/2003 0:00,10566000,0
3/1/2003 0:00,10566000,0
3/2/2003 0:00,10566000,0.508
3/3/2003 0:00,10566000,0.254
3/4/2003 0:00,10566000,0
3/5/2003 0:00,10566000,2.54
3/6/2003 0:00,10566000,1.016
3/7/2003 0:00,10566000,3.048
3/8/2003 0:00,10566000,0
3/9/2003 0:00,10566000,0
3/10/2003 0:00,10566000,0
3/11/2003 0:00,10566000,0
3/12/2003 0:00,10566000,0
3/13/2003 0:00,10566000,0
3/14/2003 0:00,10566000,0
3/15/2003 0:00,10566000,0
3/16/2003 0:00,10566000,0
3/17/2003 0:00,10566000,0
3/18/2003 0:00,10566000,1.016
3/19/2003 0:00,10566000,1.778
3/20/2003 0:00,10566000,0
3/21/2003 0:00,10566000,0
3/22/2003 0:00,10566000,0
3/23/2003 0:00,10566000,0.762
3/24/2003 0:00,10566000,0
3/25/2003 0:00,10566000,0
3/26/2003 0:00,10566000,0
3/27/2003 0:00,10566000,0
3/28/2003 0:00,10566000,0.762
3/29/2003 0:00,10566000,0
3/30/2003 0:00,10566000,0
3/31/2003 0:00,10566000,0
4/1/2003 0:00,10566000,0
4/2/2003 0:00,10566000,0
4/3/2003 0:00,10566000,2.032
4/4/2003 0:00,10566000,0.762
4/5/2003 0:00,10566000,0
4/6/2003 0:00,10566000,0
4/7/2003 0:00,10566000,0
4/8/2003 0:00,10566000,0
4/9/2003 0:00,10566000,0.508
4/10/2003 0:00,10566000,0.254
4/11/2003 0:00,10566000,0.508
4/12/2003 0:00,10566000,0.254
4/13/2003 0:00,10566000,4.826
4/14/2003 0:00,10566000,3.81
4/15/2003 0:00,10566000,0
4/16/2003 0:00,10566000,0.254
4/17/2003 0:00,10566000,1.778
4/18/2003 0:00,10566000,0
4/19/2003 0:00,10566000,0
4/20/2003 0:00,10566000,2.286
4/21/2003 0:00,10566000,0
4/22/2003 0:00,10566000,0
4/23/2003 0:00,10566000,0
4/24/2003 0:00,10566000,0
4/25/2003 0:00,10566000,1.27
4/26/2003 0:00,10566000,0
4/27/2003 0:00,10566000,0.762
4/28/2003 0:00,10566000,0
4/29/2003 0:00,10566000,2.794
4/30/2003 0:00,10566000,6.35
5/1/2003 0:00,10566000,2.54
5/2/2003 0:00,10566000,1.27
5/3/2003 0:00,10566000,0
5/4/2003 0:00,10566000,0
5/5/2003 0:00,10566000,0
5/6/2003 0:00,10566000,0
5/7/2003 0:00,10566000,0
5/8/2003 0:00,10566000,0
5/9/2003 0:00,10566000,0
5/10/2003 0:00,10566000,0
5/11/2003 0:00,10566000,0
5/12/2003 0:00,10566000,0
5/13/2003 0:00,10566000,0
5/14/2003 0:00,10566000,0
5/15/2003 0:00,10566000,0
5/16/2003 0:00,10566000,1.524
5/17/2003 0:00,10566000,0
5/18/2003 0:00,10566000,0.254
5/19/2003 0:00,10566000,0
5/20/2003 0:00,10566000,0
5/21/2003 0:00,10566000,3.048
5/22/2003 0:00,10566000,11.684
5/23/2003 0:00,10566000,0
5/24/2003 0:00,10566000,1.524
5/25/2003 0:00,10566000,0.762
5/26/2003 0:00,10566000,0
5/27/2003 0:00,10566000,0
5/28/2003 0:00,10566000,0
5/29/2003 0:00,10566000,0
5/30/2003 0:00,10566000,0
5/31/2003 0:00,10566000,2.032
6/1/2003 0:00,10566000,0
6/2/2003 0:00,10566000,0.508
6/3/2003 0:00,10566000,2.794
6/4/2003 0:00,10566000,0.254
6/5/2003 0:00,10566000,3.302
6/6/2003 0:00,10566000,0
6/7/2003 0:00,10566000,2.032
6/8/2003 0:00,10566000,1.524
6/9/2003 0:00,10566000,2.032
6/10/2003 0:00,10566000,0
6/11/2003 0:00,10566000,0
6/12/2003 0:00,10566000,0
6/13/2003 0:00,10566000,0
6/14/2003 0:00,10566000,0
6/15/2003 0:00,10566000,2.794
6/16/2003 0:00,10566000,2.286
6/17/2003 0:00,10566000,0.762
6/18/2003 0:00,10566000,0
6/19/2003 0:00,10566000,0
6/20/2003 0:00,10566000,2.032
6/21/2003 0:00,10566000,0
6/22/2003 0:00,10566000,0
6/23/2003 0:00,10566000,0
6/24/2003 0:00,10566000,0
6/25/2003 0:00,10566000,0
6/26/2003 0:00,10566000,0.254
6/27/2003 0:00,10566000,0
6/28/2003 0:00,10566000,1.524
6/29/2003 0:00,10566000,0
6/30/2003 0:00,10566000,0
7/1/2003 0:00,10566000,0
7/2/2003 0:00,10566000,16.004
7/3/2003 0:00,10566000,26.67
7/4/2003 0:00,10566000,0
7/5/2003 0:00,10566000,0
7/6/2003 0:00,10566000,0
7/7/2003 0:00,10566000,13.97
7/8/2003 0:00,10566000,2.54
7/9/2003 0:00,10566000,0.508
7/10/2003 0:00,10566000,1.778
7/11/2003 0:00,10566000,4.572
7/12/2003 0:00,10566000,6.604
7/13/2003 0:00,10566000,5.334
7/14/2003 0:00,10566000,7.62
7/15/2003 0:00,10566000,3.302
7/16/2003 0:00,10566000,1.524
7/17/2003 0:00,10566000,11.176
7/18/2003 0:00,10566000,0
7/19/2003 0:00,10566000,0
7/20/2003 0:00,10566000,0
7/21/2003 0:00,10566000,0
7/22/2003 0:00,10566000,4.572
7/23/2003 0:00,10566000,0.254
7/24/2003 0:00,10566000,4.826
7/25/2003 0:00,10566000,26.416
7/26/2003 0:00,10566000,6.858
7/27/2003 0:00,10566000,3.556
7/28/2003 0:00,10566000,3.048
